user,tweet,location,date,sentiment
Making a dr. appointment for vibe check,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…","China, IL",2020-01-14 15:11:09,neutral
✴️VOTE OUT✴️EVERY✴️Right Wing✴️MFer💯🌊🌊🌊,"RT @girlsreallyrule: Bernie supporter attacks are nothing new, especially against female candidates-we went through it in 2016. Hence, #Ref…",Bizarro World,2020-01-14 15:11:10,positive
Benjamin Salinas,"Warren attacks Bernie, fundraises off of it. Then someone from her staff leaked yesterday’s story to the media, and… https://t.co/JmfHXbFslk","Texas, USA",2020-01-14 15:11:10,neutral
dgp,Save your thoughts for the academy awards Sharpton.,None,2020-01-14 15:11:10,neutral
Wake Up Now!⭐⭐⭐,"RT @michellemalkin: Meanwhile, a Sanders field organizer threatens that ""cops are gonna be...getting f*cking beaten in Milwaukee"" at Democr…",None,2020-01-14 15:11:10,negative
Floyd Codlin,"RT @nidhiprakash: SCOOP: Bernie Sanders just gained the endorsement of Nevada's largest teachers union. 

Clark County is the 5th largest s…",London,2020-01-14 15:11:10,neutral
James Riedmiller 🌹#GreenNewDeal,RT @iskandrah: CNN came under fire Monday afternoon after publishing an unsubstantiated hit piece that cited anonymous sources—not even in…,None,2020-01-14 15:11:10,neutral
Amanda,RT @AdamParkhomenko: Did you all hear the Bernie-Warren story about how trump lied about protecting pre-existing conditions and the imminen…,None,2020-01-14 15:11:10,neutral
Noelle Seguin 🌹,"""Sen. Bernie Sanders won the endorsement of an influential teachers’ union in Nevada on Tuesday morning, a key sign… https://t.co/8UOSOv0nkZ",Washington DC/Louisiana/SoCal,2020-01-14 15:11:10,neutral
DataChef4Humanity,"RT @benshaparody: Democrats and CNN have announced that @AndrewYang will not be a part of the FINAL #DemocraticDebate this Jan.14, 2020 des…",None,2020-01-14 15:11:11,neutral
Alisa Allen,"RT @almostjingo: ""A man goes home and masturbates his typical fantasy,"" wrote Bernie Sanders. ""A woman on her knees, a woman tied up, a wom…",Pensacola Beach FL,2020-01-14 15:11:11,negative
🐘🐘 -- GA 6th Dad -- 🐘🐘,WOW! Everyone needs to see what the WACKO libs have planned IF they win and IF they DONT win....,the South,2020-01-14 15:11:11,positive
"🌴Patricia D McClendon, MSSW🌴","RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…","Largo, Pinellas County, FL USA",2020-01-14 15:11:11,neutral
adam,Warren’s campaign wants bernie vs warren,"Chicago, IL",2020-01-14 15:11:11,positive
joshua LOFTUS,"Warren's campaign says ""jump"" and the political media responds ""how high?""

Sanders has had a bill to cancel studen… https://t.co/EGqRMoMKw1","New York, NY",2020-01-14 15:11:12,positive
Deplorable🎃Texan,"#Expose2020

""Bernie Bros"" warn if Bernie Sanders does not win the Dem nomination, ""The cops are going to be the on… https://t.co/JlnkdloubX",Austin ,2020-01-14 15:11:12,negative
BrilliantChicky,@FCJamesT @santiagomayer_ New Hampshire. Biden ahead. Not Bernie. https://t.co/i1HScydG9k,None,2020-01-14 15:11:12,positive
Mary Beth Hill,RT @GayleNorman18: Very important to share this and expose these people!!! 💥💥💥 https://t.co/AjzRVEcKII,None,2020-01-14 15:11:12,positive
"Kevin ""Roadhog"" Trump","RT @JamesOKeefeIII: Stay tuned everyone. Something very big is going to happen. 

The first bombshell tape is going to drop this week. 

ht…",Red State USA,2020-01-14 15:11:12,positive
EyeVey,"RT @parscale: Big Democrat debate in Iowa tonight.

Based on the last two weeks and their reaction to @realDonaldTrump’s strong defense of…","Ft Lauderdale, FL",2020-01-14 15:11:12,positive
The Left Independent,"RT @tomaskenn: Nevada’s largest teachers union, which represents 19,000 teachers and other educators, is endorsing Bernie Sanders. Bernie i…",USA,2020-01-14 15:11:12,negative
E pluribus unum #VoteFreedom,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,None,2020-01-14 15:11:12,neutral
Miestro#1⭐️⭐️⭐️,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",Maryland,2020-01-14 15:11:13,positive
Jennifer,"RT @IWasHrren: Youll want to read this quick. #colonelSanders #sandernista tactics. Put US in GULAGS if they win. Burn our cities, if they…",Mississippi ,2020-01-14 15:11:13,positive
double d,RT @JohnWHuber: “People were actually paid a living wage in [Stalin’s] gulags” — Sanders Iowa staffer 😬,None,2020-01-14 15:11:13,neutral
Katrina(can't get past 855 followers),RT @JohnWHuber: “People were actually paid a living wage in [Stalin’s] gulags” — Sanders Iowa staffer 😬,Northeast TN,2020-01-14 15:11:13,neutral
Maria Baja,"RT @RealMattCouch: With what Project Veritas and James O'Keefe just broke on a leader of the Bernie Sanders campaign saying ""F***ing Milwau…"," Baja, Sea of Cortez ",2020-01-14 15:11:13,neutral
⚾️Curt Metzger⚾️,Woah!!!,Mansfield Texas,2020-01-14 15:11:13,neutral
TruthRhymer,"RT @heyyou2486: Bernie's continued fascination with Assad-loving, anti-LGBTQ candidate Tulsi Gabbard is another he simply does not work as…",None,2020-01-14 15:11:13,neutral
Beth Knuth***,"RT @T_S_P_O_O_K_Y: Oh, yeah - blackface @GovernorVA wants to disarm law abiding citizens at the VERY TIME the progressive wing of his @TheD…",None,2020-01-14 15:11:13,positive
EricWilliams22101,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,None,2020-01-14 15:11:13,positive
Zack S Taylor,RT @ZackSTaylor1: @politico #ITrustBernie because he's been right on the issues for decades without switching for good reason; #ElizabethWa…,New England,2020-01-14 15:11:13,positive
Knifey Shivdark,This seems totally rational and not at all unhinged. This decade is gonna be wild.,None,2020-01-14 15:11:13,positive
C Mitchell,RT @tracybeanz: Wow. Bernie field organizers planning on violent attacks in Milwaukee if Bernie doesn’t grab the nom? “Free college” is act…,"Arizona, USA",2020-01-14 15:11:13,negative
Covfefe chacha-Text Trump to 88022,RT @KatrinaPierson: This should be disqualifying.,"ft lauderdale, florida",2020-01-14 15:11:13,neutral
ElaineFox,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…",California,2020-01-14 15:11:14,neutral
AmericanWoman -Text Trump to 880022🇺🇸,MUST WATCH!,"Arizona, USA",2020-01-14 15:11:14,neutral
tyson brody,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…",None,2020-01-14 15:11:14,neutral
Foreverfree,RT @egiogirl: @BernieSanders Shameful https://t.co/xU3YfrETRe,None,2020-01-14 15:11:14,neutral
Veritas Lux Amor,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…",None,2020-01-14 15:11:14,neutral
🌹Truepatriotlady🌹,"RT @charliekirk11: In 2016, when 6 Republicans were left 50% were minorities:

Trump
Cruz
Rubio
Carson
Kasich
&amp; Jeb!

Today, 6 Democrats ar…",United States,2020-01-14 15:11:14,neutral
Kathy MAGA,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"Ohio, USA",2020-01-14 15:11:14,positive
Dea 🤷‍♀️🍻,"RT @RealMattCouch: With what Project Veritas and James O'Keefe just broke on a leader of the Bernie Sanders campaign saying ""F***ing Milwau…",🇺🇸,2020-01-14 15:11:15,neutral
Jake Williams,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…","Santa Barbara, CA",2020-01-14 15:11:15,neutral
that bitch ❣️,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…",bolzano 🇮🇹🇮🇳,2020-01-14 15:11:15,neutral
William Tawes,"RT @RealMattCouch: With what Project Veritas and James O'Keefe just broke on a leader of the Bernie Sanders campaign saying ""F***ing Milwau…",USA,2020-01-14 15:11:15,neutral
dogcicle,Elizabeth Warren is Really Just a Bad Person; Caught in Total Lie About Bernie Sanders _Styxx… https://t.co/0QJfkvkj6T,arkansas,2020-01-14 15:11:15,negative
Douglas Edward,Bernie Sanders Co-Chair: Joe Biden Has ‘Repeatedly Betrayed Black Voters’ https://t.co/c4RQ9DS8F2 via @BreitbartNews,"Milwaukee, Wi.",2020-01-14 15:11:15,negative
Boomer,"RT @RedNationRising: New Yorkers, if you're broke - ROB A BANK, I hear that the JUDGES are letting you out of jail FREE

And vote for Berni…",None,2020-01-14 15:11:15,positive
JennJustPlayTheGame,"RT @bennyjohnson: Bernie Sanders Campaign Field Organizer promises Violence at the 2020 DNC Convention:

We’re going to make the 1968 DNC R…",NY ,2020-01-14 15:11:15,neutral
angie⁷ 🌹,RT @sonyaism: https://t.co/Yq39bFk4r4,"Carolina, USA",2020-01-14 15:11:15,neutral
ˢⁿⁱᵗᵗʸ ᴷⁱᵗᵗʸ🐈ᶠᵒʳ ᵂᵃʳʳᵉⁿ🗽,@MidSentryModern @RabbiJill I remember @cenkuygur saying... the corporate Democrats are worse than the GOP/Trump.… https://t.co/iv0sWw2Xqc,None,2020-01-14 15:11:15,negative
Justice⭐️⭐️⭐️,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,JUSTICE IS COMING,2020-01-14 15:11:15,positive
Dorothy,RT @ScottAdamsSays: Apparently Warren won’t be running on the character issue. https://t.co/ghRMBqEW53,None,2020-01-14 15:11:15,positive
The Fabulous Chicana,1988 Bernie DEBUNKS Modern-Day Lie About Him https://t.co/bot3aKKVfa via @YouTube,Californian ,2020-01-14 15:11:15,neutral
Kristian Steffany 🌹,"RT @cceanv: “Together, we will finally give teachers a much-deserved raise, reinvest in public education and create an education system tha…","Texas, USA",2020-01-14 15:11:15,neutral
Amelia Have❤️Heart,RT @MSNBC: NEW: Sen. Elizabeth Warren claims Sen. Bernie Sanders told her during a December 2018 meeting that a woman couldn't win the pres…,None,2020-01-14 15:11:15,positive
Miestro#1⭐️⭐️⭐️,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Maryland,2020-01-14 15:11:16,negative
✊proud megaminder ✊💫 just married,"RT @meaganmday: I do not believe that Bernie Sanders said to Elizabeth Warren, ""A woman can't win the presidency."" I don't think you believ…",sners • she/her • 17 • eng/esp,2020-01-14 15:11:16,positive
Keep America Great! ⭐⭐⭐ Text TRUMP 88022,"Follow @JamesOKeefeIII And @Project_Veritas  
https://t.co/bRcOZQHx0n

Don't forget @realDonaldTrump Has a… https://t.co/yww2rUM6KM",NOYB :-),2020-01-14 15:11:16,neutral
The Progressive Psychonaut ☮️,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…",None,2020-01-14 15:11:16,neutral
DJL,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,The Lone Star State,2020-01-14 15:11:16,positive
"Parvez Dara MD, MBA",So...Gulags are a nice place for (indoctrination) re-education and conjugal visits?,New Jersey,2020-01-14 15:11:16,positive
Patricia🌹🇺🇸🇺🇸💐 MAGA,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,None,2020-01-14 15:11:17,neutral
🇺🇸❌Deplorable Robert  #MAGAVeteran❌🇺🇸,RT @Solmemes1: Wow bernie is a Fascist? Lol shocker,Ohio,2020-01-14 15:11:17,positive
ExcessivelyDankAnna,@R6Rider @HighFives12 @JamesOKeefeIII @BernieSanders right! leave it to the right wing to make bernie even more bad ass,United States,2020-01-14 15:11:17,positive
ImWithHerEW🗽,RT @PatrickAKarlson: The Bernie people got #RefundWarren trending because she confirmed reports that he said he didn’t think a woman could…,Right Beside you,2020-01-14 15:11:17,positive
William Colvard,"RT @sliderblaze2: It’s who they are, they just can’t help themselves 

Bernie Sanders Field Organizer, Kyle Jurek, Says Cities Will Burn If…","Atlanta, GA",2020-01-14 15:11:17,neutral
Christopher Jackson,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…","Moosup, CT",2020-01-14 15:11:17,neutral
JaxNole 🇺🇲 🇮🇱,"RT @Feisty_FL: Spartacus dropped out of the race, the Democrat field is soooo white. Crazy Bernie told Pocahontas that women can’t win. Who…","Jacksonville, Fl",2020-01-14 15:11:17,positive
Angel Dunn,"RT @VSprus4trump: If Bernie Sanders Doesn’t Win Iowa, Joe Biden Will Be The Nominee https://t.co/z3gj4UnHk8","Fort Lauderdale, FL",2020-01-14 15:11:17,positive
Lisa WWG1WGA,RT @ChrisHarvey69: Expect violence if the left doesn't get their way. https://t.co/wclcvG7cxT,None,2020-01-14 15:11:18,neutral
BlackWomen4Bernie #SquadMember,"RT @danwon86: FELLOW BERNERS, I'd just like to preface this by saying WE KNEW MSM was going to throw everything but the kitchen sink at Ber…",United States,2020-01-14 15:11:18,neutral
épineFran,@Cdowney1223 @DO_CONFIDENCE @tommyxtopher @SenSanders Bernie is the biggest road block to progress. Has been for ac… https://t.co/aJVy4bb6VT,None,2020-01-14 15:11:19,neutral
Bill Jones,Nevada teachers union endorses Bernie Sanders https://t.co/xEaO90Ge9Q,"Las Vegas, NV",2020-01-14 15:11:19,neutral
PandaDog🚩🏴,RT @_michaelbrooks: Absolutely. I’ve never understood why people were so confident about her backing Sanders after she drops out,"Los Angeles, CA",2020-01-14 15:11:19,positive
Mikenotmichael,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"St Augustine, FL",2020-01-14 15:11:19,positive
Tim Hoskinson 'Kimo',"RT @LilBlondie45: BREAKING: James O'Keefe exposes Bernie's campaign officials stating that Bernie plans to ""re educate"" MAGA supporters to…","Tucson, Arizona",2020-01-14 15:11:19,neutral
MMLDCC,"RT @ARmastrangelo: So let me get this straight, the field organizer for socialist Bernie Sanders says that “MAGA people” need to be “re-edu…",USA,2020-01-14 15:11:19,positive
Shannon Needham,"RT @wvufanagent99: So, according to the ""Bernie Bros"", if @BernieSanders does not win the Dem nomination, ""The cops are going to be the one…","Oakley, CA",2020-01-14 15:11:19,negative
KAG2020 F*ck SHADOW BANNING!!,https://t.co/CuLThIq7oV,Planet Uranus,2020-01-14 15:11:19,neutral
Mario Ricciardi,RT @LHSummers: .⁦@RonBrownstein⁩ column does a great job highlighting the sheer enormity of ⁦@BernieSanders⁩ fiscal plans. I calculate that…,Brideshead,2020-01-14 15:11:19,positive
zelda laflame,"@philly_bernie @acobasi I meant to say the 2. would dig me even more, especially as a female voter. Can you imagine… https://t.co/sB4FqAT6Ji","Snitty heckler, balcony, back row.",2020-01-14 15:11:19,positive
Leslie Johnson,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,"Robbins, TX",2020-01-14 15:11:19,neutral
Bama Mimi (Text TRUMP to 88022),"RT @DjLots3: Whoa!!FULL RELEASE at NOON

Bernie Sanders camp threatening violence!

""MILWAUKEE WILL BURN IF HE DOESNT GET NOMINATION""

Cant…",USA,2020-01-14 15:11:19,neutral
Anders Ask,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,None,2020-01-14 15:11:19,positive
BOONE ⭐️⭐️⭐️,"RT @LilBlondie45: BREAKING: James O'Keefe exposes Bernie's campaign officials stating that Bernie plans to ""re educate"" MAGA supporters to…",FLORIDA PANHANDLE,2020-01-14 15:11:19,neutral
Miestro#1⭐️⭐️⭐️,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…",Maryland,2020-01-14 15:11:19,neutral
HerdFan,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…","Winston-Salem, NC",2020-01-14 15:11:20,negative
wgmac52,"RT @michellemalkin: Meanwhile, a Sanders field organizer threatens that ""cops are gonna be...getting f*cking beaten in Milwaukee"" at Democr…",None,2020-01-14 15:11:20,negative
Wendy Nowell,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",North Carolina,2020-01-14 15:11:20,positive
🌹#LeftyToTheCore 🌹#BerniesGoingToWin,RT @briebriejoy: Hope we get a question tomorrow re why other candidates don’t join Bernie in wanting to abolish at will employment. @wolfb…,"California, USA",2020-01-14 15:11:20,negative
The roaring 20’s are coming🔥🔥🇺🇸🇺🇸🇺🇸🇺🇸,RT @janelle_noble: How many more workers of this ilk does @BernieSanders have working on his campaign?,"Florida, USA",2020-01-14 15:11:20,positive
double d,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",None,2020-01-14 15:11:20,positive
💧🌈❤️Graham Lebbern 🌈❤️,RT @AidenWolfe: The only goddamn thing I want to see in tonight’s debate is Bernie &amp; Warren setting aside all pride and defusing the growin…,Bindal and Wulgurukaba Land,2020-01-14 15:11:20,neutral
Laney,RT @christianllamar: @JamesOKeefeIII @JackPosobiec @BernieSanders Democratic Party platform came from Nazi Germany. Bernie Campaign worker…,"North Dakota, USA",2020-01-14 15:11:20,neutral
Rumson RightON,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,USA,2020-01-14 15:11:20,positive
WeeeThePeople🇺🇸+++⭐️⭐️⭐️,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Philly Burbs,2020-01-14 15:11:20,negative
Daylan Brasfield,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…","Medellín, Colombia",2020-01-14 15:11:20,positive
The Right Side of History ⭐⭐⭐,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",sunny south 🌞,2020-01-14 15:11:20,negative
🇺🇸 Proud Navy Veteran🇺🇸twatter NOT a bot🌟,RT @RealMattCouch: @JackPosobiec @Bmelito87 https://t.co/oqVRqCv5OZ,None,2020-01-14 15:11:20,neutral
P.R.Sorensen,"RT @MrJones_tm: Good to see the Bernie Bros not even hiding the fact that they are trying to indoctrinate our youth 🙄

Re-education = brain…",N.E. Florida & FL Keys,2020-01-14 15:11:21,positive
Samuel Praneeth,"RT @PrettyBadLefty: Some people are trying to carve out a third, coward position that Warren simply misunderstood Bernie. That's not the ca…","Hyderabad, India",2020-01-14 15:11:21,neutral
Timothy Nida,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",United States,2020-01-14 15:11:21,negative
James,"RT @People4Bernie: ITS HAPPENING: The @cceanv is endorsing Bernie Sanders for president of the United States!

https://t.co/YbGBERbmAr?",USA,2020-01-14 15:11:21,neutral
Mesa,"RT @HKrassenstein: If Bernie is the nominee, I’ll vote for him.  If Warren is the nominee, I’ll vote for her.  

Stop the fighting within t…","Chicago, IL",2020-01-14 15:11:21,neutral
Beth Knuth***,"RT @catturd2: @JamesOKeefeIII and @Project_Veritas has done it again and revealed to the world, in their own words, what Bernie Sanders and…",None,2020-01-14 15:11:21,positive
ZombieJinx 🦀 ™®©°,"RT @nidhiprakash: SCOOP: Bernie Sanders just gained the endorsement of Nevada's largest teachers union. 

Clark County is the 5th largest s…",Ohio,2020-01-14 15:11:21,neutral
Discernment,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,None,2020-01-14 15:11:21,positive
Oh please,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",Sverige,2020-01-14 15:11:21,positive
MARK,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",United States,2020-01-14 15:11:21,negative
E pluribus unum #VoteFreedom,RT @CarmineSabia: Bernie campaign workers calling for re education and gulags fro President Donald Trump supporters. Threaten riots and bea…,None,2020-01-14 15:11:21,neutral
TruthSeeker,Violence and hatred THIS is the Democrat Party Platform.,None,2020-01-14 15:11:21,neutral
NMN (nēmən),"In my opinion, most black people only know Biden because... Obama.

They don't know who Bernie or Liz are because f… https://t.co/fCptwbwPwK",H-Town born and raised. 🤘🏽🤠,2020-01-14 15:11:21,positive
(Drofdem) Birddog,Is Bernie Sanders the Biggest Climate Change Hypocrite on the Planet? https://t.co/WvDOziV8YF via @YouTube,None,2020-01-14 15:11:21,neutral
Angel Heart,RT @LisaMei62: Wow. Bernie will just fire these guys and say he had no idea they were talking like this. https://t.co/HnhrOMCL0s,None,2020-01-14 15:11:21,positive
P  V ❤️🇺🇸TRUMP❤️🇺🇸,RT @MissILmom: And Now it Begins...Crazy VS Crazier! Turning on Their own. Eating each other Alive! Sit back...Get your Popcorn...Feet up..…,USA,2020-01-14 15:11:22,positive
Twain's Melon 🌹,This echoes loudly as the consensus amongst progressives,None,2020-01-14 15:11:22,positive
Paul Jankura,RT @speechboy71: So I noticed something interesting in Bernie Sanders interview with the NYT editorial board. He was asked how he would end…,"Cuyahoga Falls, Ohio",2020-01-14 15:11:22,positive
MemphisFromZero,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…","Memphis, TN",2020-01-14 15:11:22,positive
Bridget,"RT @People4Bernie: ITS HAPPENING: The @cceanv is endorsing Bernie Sanders for president of the United States!

https://t.co/YbGBERbmAr?",None,2020-01-14 15:11:22,neutral
Mr. Mo Haywood,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Nawf Memphis ,2020-01-14 15:11:22,negative
Jerry Armel,RT @dFinnegansWake: #RefundWarren #TooFaced Democrats. This 👇 is today's Democrat Party. Always remember; anything a sanctimonious Liberal…,"Pennsylvania, USA",2020-01-14 15:11:22,neutral
southpawusmc 🇺🇸🇺🇸,@kayskay7 @MissILmom Somebody tell Bernie we dont want a communist socialist country,None,2020-01-14 15:11:22,neutral
#LyingLiz #ITrustBERNIE,"RT @MidSentryModern: @Newsweek These attacks against Bernie have the DNC &amp; Clinton written all over them.

If you support Bernie get out &amp;…","Maine, USA",2020-01-14 15:11:22,neutral
#RefundWarren🌹Ⓥ,"RT @HootHootBerns: This is the big scary thing O'Keefe has for us?

Jokes and hyperbole?

Y'all, Bernie's gonna win. 🤣 https://t.co/ph4vNN8…","Los Angeles, CA",2020-01-14 15:11:22,positive
Kylie Cheung,"No one from Warren’s camp said Bernie doesn’t want a woman president, just that he expressed a common fear. Struggl… https://t.co/lvymJ7B4K4",LA-DC,2020-01-14 15:11:22,negative
Deplorable Vic,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",None,2020-01-14 15:11:22,positive
Peter Koltak,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…",D.C. & NV,2020-01-14 15:11:23,neutral
eileen garcia,RT @johnnymarz: FOLKS! We’re less than 3 weeks out til Iowa - follow @DannyDeVito’s lead and start making calls for Bernie!! https://t.co/r…,"Washington, DC",2020-01-14 15:11:23,negative
🏁NamaSLAY🤸🏾‍♀️,"RT @MsPackyetti: I’m not saying hate Bernie-Liz doesn’t. You shouldn’t. I don’t.

I’m saying the vitriol is unnecessary. Let’s be smarter.…",www.ladopevie.com,2020-01-14 15:11:23,negative
Miss Riss,"RT @trekkerteach12: ""Bernie Sanders won the endorsement of an influential teachers’ union in Nevada on Tuesday morning, a key sign of suppo…","correct coast, usa",2020-01-14 15:11:23,neutral
☇RiotWomenn☇,@HaydenRGordon @FredTJoseph @TulsiGabbard @BernieSanders Why do so many white people like Trump? He sends signals h… https://t.co/2YCId8Dx3U,Where in the world are we?,2020-01-14 15:11:23,positive
Deplorable KEVIN ⭐️⭐️⭐️,RT @suebeehoney60: There is heavy wave of KKK in that area.  Skinheads. https://t.co/sMJDrhcP2x,VIVAT JESUS,2020-01-14 15:11:24,negative
Matt Couch 🎙,@WhiteHouse @MADavis1949 @realDonaldTrump https://t.co/oqVRqCv5OZ,"NW Arkansas, USA",2020-01-14 15:11:24,neutral
Cheryllynn512 Kamala2020,RT @brianschatz: This Bernie Elizabeth thing reminds me that the Republicans are in federal court trying to take away healthcare from tens…,NYNY,2020-01-14 15:11:24,neutral
MB,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…",None,2020-01-14 15:11:24,neutral
Nostramomus#Bernie46,"RT @JordanUhl: Bernie in 1988: In my view, a woman could be elected President.

https://t.co/jWHcfDQ4vC","Boulder, CO",2020-01-14 15:11:24,neutral
HammerDownHanna,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…","Illinois, USA",2020-01-14 15:11:24,neutral
kroncker,"RT @parscale: Big Democrat debate in Iowa tonight.

Based on the last two weeks and their reaction to @realDonaldTrump’s strong defense of…",United States,2020-01-14 15:11:24,positive
"Nial Elkim, +4 Billionaire's Bane 🔥 Vorpal Sword","RT @NialElkim: Told by family that CNN is using this quote, 

""What I did say that night was that Donald Trump is a sexist, a racist and a…","California, USA",2020-01-14 15:11:25,neutral
EyeVey,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…","Ft Lauderdale, FL",2020-01-14 15:11:25,negative
D E V O N,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…","MONTANA, USA",2020-01-14 15:11:25,positive
Serenity Foods,"RT @SocialistBoomer: During the debate, Bernie needs to look her in the eyes and say who begged you to run in 2015?? Ask her whether winnin…",Los Angeles,2020-01-14 15:11:25,neutral
SE Knecht,RT @AidenWolfe: The only goddamn thing I want to see in tonight’s debate is Bernie &amp; Warren setting aside all pride and defusing the growin…,"Florida, USA",2020-01-14 15:11:25,neutral
Saku “NO MORE WAR” Zuckerberg,"RT @BernieSanders: Thank you @cceanv for your support! Together, we will finally give teachers a much-deserved raise, reinvest in public ed…","Planet Earth, near a beach",2020-01-14 15:11:25,neutral
sawhill,@MSNBC https://t.co/GFeeSaCIPm,Si hortum in bibliotheca habes | BLOCKED by Rosie and Cernovich thank God. Latin Translator.,2020-01-14 15:11:25,neutral
Dia Staines 👛📚,"RT @littledeekay: Vince Vaughn talking to Trump doesn’t matter.

 What Bernie said to Warren one time in a private conversation hardly matt…",Not at home🇨🇦 but happy here,2020-01-14 15:11:26,negative
Jake Tapper,"RT @RonBrownstein: New analysis shows ⁦@SenSanders⁩ agenda would double total federal spending over next decade. As a % of economy, he’s pr…",None,2020-01-14 15:11:26,positive
Andrew Christian,"RT @tomaskenn: Nevada’s largest teachers union, which represents 19,000 teachers and other educators, is endorsing Bernie Sanders. Bernie i…",All Around in the Dark,2020-01-14 15:11:26,negative
Bella August,"@ThePierreAlexis @JoyAnnReid POC voters, they are blamed for not being opened to a candidate. Like its black voters… https://t.co/OPUVGnGNBe","Los Angeles, CA",2020-01-14 15:11:26,negative
